"Name","DisplayName","StartMode","State","PathName","Description","StartName","ServiceType"
"QWAVE","Quality Windows Audio Video Experience","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Quality Windows Audio Video Experience (qWave) is a networking platform for Audio Video (AV) streaming applications on IP home networks. qWave enhances AV streaming performance and reliability by ensuring network quality-of-service (QoS) for AV applications. It provides mechanisms for admission control, run time monitoring and enforcement, application feedback, and traffic prioritization.","NT AUTHORITY\LocalService","Share Process"
"RasAuto","Remote Access Auto Connection Manager","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Creates a connection to a remote network whenever a program references a remote DNS or NetBIOS name or address.","localSystem","Share Process"
"RasMan","Remote Access Connection Manager","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k netsvcs","Manages dial-up and virtual private network (VPN) connections from this computer to the Internet or other remote networks. If this service is disabled, any services that explicitly depend on it will fail to start.","localSystem","Share Process"
"refsdedupsvc","ReFS Dedup Service","Manual","Stopped","C:\WINDOWS\System32\ReFsDedupSvc.exe","ReFS data deduplication and compression service to track file changes and run scheduled optimization jobs.","LocalSystem","Own Process"
"RemoteAccess","Routing and Remote Access","Disabled","Stopped","C:\WINDOWS\System32\svchost.exe -k netsvcs","Offers routing services to businesses in local area and wide area network environments.","localSystem","Share Process"
"RemoteRegistry","Remote Registry","Auto","Stopped","C:\WINDOWS\system32\svchost.exe -k localService -p","Enables remote users to modify registry settings on this computer. If this service is stopped, the registry can be modified only by users on this computer. If this service is disabled, any services that explicitly depend on it will fail to start.","NT AUTHORITY\LocalService","Share Process"
"RmSvc","Radio Management Service","Manual","Running","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted","Radio Management and Airplane Mode Service","NT AUTHORITY\LocalService","Share Process"
"RpcEptMapper","RPC Endpoint Mapper","Auto","Running","C:\WINDOWS\system32\svchost.exe -k RPCSS -p","Resolves RPC interfaces identifiers to transport endpoints. If this service is stopped or disabled, programs using Remote Procedure Call (RPC) services will not function properly.","NT AUTHORITY\NetworkService","Share Process"
"RpcLocator","Remote Procedure Call (RPC) Locator","Manual","Stopped","C:\WINDOWS\system32\locator.exe","In Windows 2003 and earlier versions of Windows, the Remote Procedure Call (RPC) Locator service manages the RPC name service database. In Windows Vista and later versions of Windows, this service does not provide any functionality and is present for application compatibility.","NT AUTHORITY\NetworkService","Own Process"
"RpcSs","Remote Procedure Call (RPC)","Auto","Running","C:\WINDOWS\system32\svchost.exe -k rpcss -p","The RPCSS service is the Service Control Manager for COM and DCOM servers. It performs object activations requests, object exporter resolutions and distributed garbage collection for COM and DCOM servers. If this service is stopped or disabled, programs using COM or DCOM will not function properly. It is strongly recommended that you have the RPCSS service running.","NT AUTHORITY\NetworkService","Share Process"
"RSoPProv","Resultant Set of Policy Provider","Manual","Stopped","C:\WINDOWS\system32\RSoPProv.exe","Provides a network service that processes requests to simulate application of Group Policy settings for a target user or computer in various situations and computes the Resultant Set of Policy settings.","LocalSystem","Share Process"
"sacsvr","Special Administration Console Helper","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Allows administrators to remotely access a command prompt using Emergency Management Services.","LocalSystem","Share Process"
"SamSs","Security Accounts Manager","Auto","Running","C:\WINDOWS\system32\lsass.exe","The startup of this service signals other services that the Security Accounts Manager (SAM) is ready to accept requests.  Disabling this service will prevent other services in the system from being notified when the SAM is ready, which may in turn cause those services to fail to start correctly. This service should not be disabled.","LocalSystem","Share Process"
"SCardSvr","Smart Card","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation","Manages access to smart cards read by this computer. If this service is stopped, this computer will be unable to read smart cards. If this service is disabled, any services that explicitly depend on it will fail to start.","NT AUTHORITY\LocalService","Share Process"
"ScDeviceEnum","Smart Card Device Enumeration Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted","Creates software device nodes for all smart card readers accessible to a given session. If this service is disabled, WinRT APIs will not be able to enumerate smart card readers.","LocalSystem","Share Process"
"Schedule","Task Scheduler","Auto","Running","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Enables a user to configure and schedule automated tasks on this computer. The service also hosts multiple Windows system-critical tasks. If this service is stopped or disabled, these tasks will not be run at their scheduled times. If this service is disabled, any services that explicitly depend on it will fail to start.","LocalSystem","Share Process"
"SCPolicySvc","Smart Card Removal Policy","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs","Allows the system to be configured to lock the user desktop upon smart card removal.","LocalSystem","Share Process"
"seclogon","Secondary Logon","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Enables starting processes under alternate credentials. If this service is stopped, this type of logon access will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","LocalSystem","Share Process"
"SecurityHealthService","Windows Security Service","Manual","Running","C:\WINDOWS\system32\SecurityHealthService.exe","Windows Security Service handles unified device protection and health information","LocalSystem","Own Process"
"SEMgrSvc","Payments and NFC/SE Manager","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Manages payments and Near Field Communication (NFC) based secure elements.","NT AUTHORITY\LocalService","Own Process"
"SENS","System Event Notification Service","Auto","Running","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Monitors system events and notifies subscribers to COM+ Event System of these events.","LocalSystem","Share Process"
"Sense","Windows Defender Advanced Threat Protection Service","Manual","Stopped","""C:\Program Files\Windows Defender Advanced Threat Protection\MsSense.exe""","Windows Defender Advanced Threat Protection service helps protect against advanced threats by monitoring and reporting security events that happen on the computer.","LocalSystem","Own Process"
"SensorDataService","Sensor Data Service","Manual","Stopped","C:\WINDOWS\System32\SensorDataService.exe","Delivers data from a variety of sensors","LocalSystem","Own Process"
"SensorService","Sensor Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","A service for sensors that manages different sensors' functionality. Manages Simple Device Orientation (SDO) and History for sensors. Loads the SDO sensor that reports device orientation changes.  If this service is stopped or disabled, the SDO sensor will not be loaded and so auto-rotation will not occur. History collection from Sensors will also be stopped.","LocalSystem","Share Process"
"SensrSvc","Sensor Monitoring Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Monitors various sensors in order to expose data and adapt to system and user state.  If this service is stopped or disabled, the display brightness will not adapt to lighting conditions. Stopping this service may affect other system functionality and features as well.","NT AUTHORITY\LocalService","Share Process"
"SessionEnv","Remote Desktop Configuration","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Remote Desktop Configuration service (RDCS) is responsible for all Remote Desktop Services and Remote Desktop related configuration and session maintenance activities that require SYSTEM context. These include per-session temporary folders, RD themes, and RD certificates.","localSystem","Share Process"
"SgrmBroker","System Guard Runtime Monitor Broker","Disabled","Stopped","C:\WINDOWS\system32\Sgrm\SgrmBroker.exe","Monitors and attests to the integrity of the Windows platform.","LocalSystem","Own Process"
"SharedAccess","Internet Connection Sharing (ICS)","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Provides network address translation, addressing, name resolution and/or intrusion prevention services for a home or small office network.","LocalSystem","Share Process"
"ShellHWDetection","Shell Hardware Detection","Auto","Running","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Provides notifications for AutoPlay hardware events.","LocalSystem","Share Process"
"shpamsvc","Shared PC Account Manager","Disabled","Stopped","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Manages profiles and accounts on a SharedPC configured device","LocalSystem","Share Process"
"smphost","Microsoft Storage Spaces SMP","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k smphost","Host service for the Microsoft Storage Spaces management provider. If this service is stopped or disabled, Storage Spaces cannot be managed.","NT AUTHORITY\NetworkService","Own Process"
"SNMPTrap","SNMP Trap","Manual","Stopped","C:\WINDOWS\System32\snmptrap.exe","Receives trap messages generated by local or remote Simple Network Management Protocol (SNMP) agents and forwards the messages to SNMP management programs running on this computer. If this service is stopped, SNMP-based programs on this computer will not receive SNMP trap messages. If this service is disabled, any services that explicitly depend on it will fail to start.","NT AUTHORITY\LocalService","Own Process"
"Spooler","Print Spooler","Auto","Running","C:\WINDOWS\System32\spoolsv.exe","This service spools print jobs and handles interaction with the printer.  If you turn off this service, you won't be able to print or see your printers.","LocalSystem","Own Process"
"sppsvc","Software Protection","Auto","Running","C:\WINDOWS\system32\sppsvc.exe","Enables the download, installation and enforcement of digital licenses for Windows and Windows applications. If the service is disabled, the operating system and licensed applications may run in a notification mode. It is strongly recommended that you not disable the Software Protection service.","NT AUTHORITY\NetworkService","Own Process"
"SSDPSRV","SSDP Discovery","Disabled","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Discovers networked devices and services that use the SSDP discovery protocol, such as UPnP devices. Also announces SSDP devices and services running on the local computer. If this service is stopped, SSDP-based devices will not be discovered. If this service is disabled, any services that explicitly depend on it will fail to start.","NT AUTHORITY\LocalService","Share Process"
"ssh-agent","OpenSSH Authentication Agent","Disabled","Stopped","C:\WINDOWS\System32\OpenSSH\ssh-agent.exe","Agent to hold private keys used for public key authentication.","LocalSystem","Own Process"
"sshd","OpenSSH SSH Server","Manual","Stopped","C:\WINDOWS\System32\OpenSSH\sshd.exe","SSH protocol based service to provide secure encrypted communications between two untrusted hosts over an insecure network.","LocalSystem","Own Process"
"SstpSvc","Secure Socket Tunneling Protocol Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Provides support for the Secure Socket Tunneling Protocol (SSTP) to connect to remote computers using VPN. If this service is disabled, users will not be able to use SSTP to access remote servers.","NT Authority\LocalService","Share Process"
"StateRepository","State Repository Service","Auto","Running","C:\WINDOWS\system32\svchost.exe -k appmodel -p","Provides required infrastructure support for the application model.","LocalSystem","Share Process"
"StiSvc","Windows Image Acquisition (WIA)","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k imgsvc","Provides image acquisition services for scanners and cameras","NT Authority\LocalService","Own Process"
"StorSvc","Storage Service","Auto","Running","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Provides enabling services for storage settings and external storage expansion","LocalSystem","Share Process"
"svsvc","Spot Verifier","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Verifies potential file system corruptions.","LocalSystem","Share Process"
"swprv","Microsoft Software Shadow Copy Provider","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k swprv","Manages software-based volume shadow copies taken by the Volume Shadow Copy service. If this service is stopped, software-based volume shadow copies cannot be managed. If this service is disabled, any services that explicitly depend on it will fail to start.","LocalSystem","Own Process"
"SysMain","SysMain","Auto","Running","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Maintains and improves system performance over time.","LocalSystem","Share Process"
"SystemEventsBroker","System Events Broker","Auto","Running","C:\WINDOWS\system32\svchost.exe -k DcomLaunch -p","Coordinates execution of background work for WinRT application. If this service is stopped or disabled, then background work might not be triggered.","LocalSystem","Share Process"
"tapisrv","Telephony","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k NetworkService -p","Provides Telephony API (TAPI) support for programs that control telephony devices on the local computer and, through the LAN, on servers that are also running the service.","NT AUTHORITY\NetworkService","Share Process"
"TermService","Remote Desktop Services","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k termsvcs","Allows users to connect interactively to a remote computer. Remote Desktop and Remote Desktop Session Host Server depend on this service.  To prevent remote use of this computer, clear the checkboxes on the Remote tab of the System properties control panel item.","NT Authority\NetworkService","Share Process"
"TextInputManagementService","Text Input Management Service","Auto","Running","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Enables text input, expressive input, touch keyboard, handwriting, and IMEs.","LocalSystem","Share Process"
"Themes","Themes","Auto","Running","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","Provides user experience theme management.","LocalSystem","Share Process"
"TieringEngineService","Storage Tiers Management","Manual","Stopped","C:\WINDOWS\system32\TieringEngineService.exe","Optimizes the placement of data in storage tiers on all tiered storage spaces in the system.","localSystem","Own Process"
"TimeBrokerSvc","Time Broker","Manual","Running","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Coordinates execution of background work for WinRT application. If this service is stopped or disabled, then background work might not be triggered.","NT AUTHORITY\LocalService","Share Process"
"TokenBroker","Web Account Manager","Manual","Running","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","This service is used by Web Account Manager to provide single-sign-on to apps and services.","LocalSystem","Share Process"
"TrkWks","Distributed Link Tracking Client","Auto","Running","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Maintains links between NTFS files within a computer or across computers in a network.","LocalSystem","Share Process"
"TrustedInstaller","Windows Modules Installer","Manual","Stopped","C:\WINDOWS\servicing\TrustedInstaller.exe","Enables installation, modification, and removal of Windows updates and optional components. If this service is disabled, install or uninstall of Windows updates might fail for this computer.","localSystem","Own Process"
"tzautoupdate","Auto Time Zone Updater","Disabled","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Automatically sets the system time zone.","NT AUTHORITY\LocalService","Share Process"
"UALSVC","User Access Logging Service","Auto","Running","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","This service logs unique client access requests, in the form of IP addresses and user names, of installed products and roles on the local server. This information can be queried, via Powershell, by administrators needing to quantify client demand of server software for offline Client Access License (CAL) management. If the service is disabled, client requests will not be logged and will not be retrievable via Powershell queries. Stopping the service will not affect query of historical data (see supporting documentation for steps to delete historical data). The local system administrator must consult his, or her, Windows Server license terms to determine the number of CALs that are required for the server software to be appropriately licensed; use of the UAL service and data does not alter this obligation.","LocalSystem","Share Process"
"UevAgentService","User Experience Virtualization Service","Disabled","Stopped","C:\WINDOWS\system32\AgentService.exe","Provides support for application and OS settings roaming","LocalSystem","Own Process"
"UmRdpService","Remote Desktop Services UserMode Port Redirector","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","Allows the redirection of Printers/Drives/Ports for RDP connections","localSystem","Share Process"
"upnphost","UPnP Device Host","Disabled","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalServiceAndNoImpersonation -p","Allows UPnP devices to be hosted on this computer. If this service is stopped, any hosted UPnP devices will stop functioning and no additional hosted devices can be added. If this service is disabled, any services that explicitly depend on it will fail to start.","NT AUTHORITY\LocalService","Share Process"
"UserManager","User Manager","Auto","Running","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","User Manager provides the runtime components required for multi-user interaction.  If this service is stopped, some applications may not operate correctly.","LocalSystem","Share Process"
"UsoSvc","Update Orchestrator Service","Auto","Running","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Manages Windows Updates. If stopped, your devices will not be able to download and install the latest updates.","LocalSystem","Share Process"
"VaultSvc","Credential Manager","Manual","Running","C:\WINDOWS\system32\lsass.exe","Provides secure storage and retrieval of credentials to users, applications and security service packages.","LocalSystem","Share Process"
"vds","Virtual Disk","Manual","Stopped","C:\WINDOWS\System32\vds.exe","Provides management services for disks, volumes, file systems, and storage arrays.","LocalSystem","Own Process"
"vmicguestinterface","Hyper-V Guest Service Interface","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Provides an interface for the Hyper-V host to interact with specific services running inside the virtual machine.","LocalSystem","Share Process"
"vmicheartbeat","Hyper-V Heartbeat Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k ICService -p","Monitors the state of this virtual machine by reporting a heartbeat at regular intervals. This service helps you identify running virtual machines that have stopped responding.","LocalSystem","Share Process"
"vmickvpexchange","Hyper-V Data Exchange Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Provides a mechanism to exchange data between the virtual machine and the operating system running on the physical computer.","LocalSystem","Share Process"
"vmicrdv","Hyper-V Remote Desktop Virtualization Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k ICService -p","Provides a platform for communication between the virtual machine and the operating system running on the physical computer.","LocalSystem","Share Process"
"vmicshutdown","Hyper-V Guest Shutdown Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Provides a mechanism to shut down the operating system of this virtual machine from the management interfaces on the physical computer.","LocalSystem","Share Process"
"vmictimesync","Hyper-V Time Synchronization Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Synchronizes the system time of this virtual machine with the system time of the physical computer.","NT AUTHORITY\LocalService","Share Process"
"vmicvmsession","Hyper-V PowerShell Direct Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Provides a mechanism to manage virtual machine with PowerShell via VM session without a virtual network.","LocalSystem","Share Process"
"vmicvss","Hyper-V Volume Shadow Copy Requestor","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Coordinates the communications that are required to use Volume Shadow Copy Service to back up applications and data on this virtual machine from the operating system on the physical computer.","LocalSystem","Share Process"
"VSS","Volume Shadow Copy","Manual","Stopped","C:\WINDOWS\system32\vssvc.exe","Manages and implements Volume Shadow Copies used for backup and other purposes. If this service is stopped, shadow copies will be unavailable for backup and the backup may fail. If this service is disabled, any services that explicitly depend on it will fail to start.","LocalSystem","Own Process"
"W32Time","Windows Time","Auto","Running","C:\WINDOWS\system32\svchost.exe -k LocalService","Maintains date and time synchronization on all clients and servers in the network. If this service is stopped, date and time synchronization will be unavailable. If this service is disabled, any services that explicitly depend on it will fail to start.","NT AUTHORITY\LocalService","Share Process"
"WaaSMedicSvc","WaaSMedicSvc","Manual","Running","C:\WINDOWS\system32\svchost.exe -k wusvcs -p",,"LocalSystem","Share Process"
"WalletService","WalletService","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k appmodel -p","Hosts objects used by clients of the wallet","LocalSystem","Share Process"
"WarpJITSvc","Warp JIT Service","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k LocalServiceNetworkRestricted","Enables JIT compilation support in d3d10warp.dll for processes in which code generation is disabled.","NT Authority\LocalService","Own Process"
"WbioSrvc","Windows Biometric Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k WbioSvcGroup","The Windows biometric service gives client applications the ability to capture, compare, manipulate, and store biometric data without gaining direct access to any biometric hardware or samples. The service is hosted in a privileged SVCHOST process.","LocalSystem","Share Process"
"Wcmsvc","Windows Connection Manager","Auto","Running","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p -s Wcmsvc","Makes automatic connect and disconnect decisions based on the network connectivity options currently available to the PC and enables management of network connectivity based on Group Policy settings.","NT Authority\LocalService","Own Process"
"wcncsvc","Windows Connect Now - Config Registrar","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k LocalServiceAndNoImpersonation -p","WCNCSVC hosts the Windows Connect Now Configuration which is Microsoft's Implementation of Wireless Protected Setup (WPS) protocol. This is used to configure Wireless LAN settings for an Access Point (AP) or a Wireless Device. The service is started programmatically as needed.","NT AUTHORITY\LocalService","Share Process"
"WdiServiceHost","Diagnostic Service Host","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k LocalService -p","The Diagnostic Service Host is used by the Diagnostic Policy Service to host diagnostics that need to run in a Local Service context.  If this service is stopped, any diagnostics that depend on it will no longer function.","NT AUTHORITY\LocalService","Share Process"
"WdiSystemHost","Diagnostic System Host","Manual","Running","C:\WINDOWS\System32\svchost.exe -k LocalSystemNetworkRestricted -p","The Diagnostic System Host is used by the Diagnostic Policy Service to host diagnostics that need to run in a Local System context.  If this service is stopped, any diagnostics that depend on it will no longer function.","LocalSystem","Share Process"
"WdNisSvc","Microsoft Defender Antivirus Network Inspection Service","Manual","Running","""C:\Program Files\Windows Defender\NisSrv.exe""","Helps guard against intrusion attempts targeting known and newly discovered vulnerabilities in network protocols","NT AUTHORITY\LocalService","Own Process"
"Wecsvc","Windows Event Collector","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k NetworkService -p","This service manages persistent subscriptions to events from remote sources that support WS-Management protocol. This includes Windows Vista event logs, hardware and IPMI-enabled event sources. The service stores forwarded events in a local Event Log. If this service is stopped or disabled event subscriptions cannot be created and forwarded events cannot be accepted.","NT AUTHORITY\NetworkService","Share Process"
"WEPHOSTSVC","Windows Encryption Provider Host Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k WepHostSvcGroup","Windows Encryption Provider Host Service brokers encryption related functionalities from 3rd Party Encryption Providers to processes that need to evaluate and apply EAS policies. Stopping this will compromise EAS compliancy checks that have been established by the connected Mail Accounts","NT AUTHORITY\LocalService","Share Process"
"wercplsupport","Problem Reports Control Panel Support","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k netsvcs -p","This service provides support for viewing, sending and deletion of system-level problem reports for the Problem Reports control panel.","localSystem","Share Process"
"WerSvc","Windows Error Reporting Service","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k WerSvcGroup","Allows errors to be reported when programs stop working or responding and allows existing solutions to be delivered. Also allows logs to be generated for diagnostic and repair services. If this service is stopped, error reporting might not work correctly and results of diagnostic services and repairs might not be displayed.","localSystem","Own Process"
"WFDSConMgrSvc","Wi-Fi Direct Services Connection Manager Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","Manages connections to wireless services, including wireless display and docking.","NT AUTHORITY\LocalService","Share Process"
"WiaRpc","Still Image Acquisition Events","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted -p","Launches applications associated with still image acquisition events.","LocalSystem","Share Process"
"WinDefend","Microsoft Defender Antivirus Service","Auto","Running","""C:\Program Files\Windows Defender\MsMpEng.exe""","Helps protect users from malware and other potentially unwanted software","LocalSystem","Own Process"
"WinHttpAutoProxySvc","WinHTTP Web Proxy Auto-Discovery Service","Manual","Running","C:\WINDOWS\system32\svchost.exe -k LocalServiceNetworkRestricted -p","WinHTTP implements the client HTTP stack and provides developers with a Win32 API and COM Automation component for sending HTTP requests and receiving responses. In addition, WinHTTP provides support for auto-discovering a proxy configuration via its implementation of the Web Proxy Auto-Discovery (WPAD) protocol.","NT AUTHORITY\LocalService","Share Process"
"Winmgmt","Windows Management Instrumentation","Auto","Running","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Provides a common interface and object model to access management information about operating system, devices, applications and services. If this service is stopped, most Windows-based software will not function properly. If this service is disabled, any services that explicitly depend on it will fail to start.","localSystem","Share Process"
"WinRM","Windows Remote Management (WS-Management)","Auto","Running","C:\WINDOWS\System32\svchost.exe -k NetworkService -p","Windows Remote Management (WinRM) service implements the WS-Management protocol for remote management. WS-Management is a standard web services protocol used for remote software and hardware management. The WinRM service listens on the network for WS-Management requests and processes them. The WinRM Service needs to be configured with a listener using winrm.cmd command line tool or through Group Policy in order for it to listen over the network. The WinRM service provides access to WMI data and enables event collection. Event collection and subscription to events require that the service is running. WinRM messages use HTTP and HTTPS as transports. The WinRM service does not depend on IIS but is preconfigured to share a port with IIS on the same machine.  The WinRM service reserves the /wsman URL prefix. To prevent conflicts with IIS, administrators should ensure that any websites hosted on IIS do not use the /wsman URL prefix.","NT AUTHORITY\NetworkService","Share Process"
"wisvc","Windows Insider Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Provides infrastructure support for the Windows Insider Program. This service must remain enabled for the Windows Insider Program to work.","LocalSystem","Share Process"
"WlanSvc","WLAN AutoConfig","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k WlansvcGroup","The WLANSVC service provides the logic required to configure, discover, connect to, and disconnect from a wireless local area network (WLAN) as defined by IEEE 802.11 standards. It also contains the logic to turn your computer into a software access point so that other devices or computers can connect to your computer wirelessly using a WLAN adapter that can support this. Stopping or disabling the WLANSVC service will make all WLAN adapters on your computer inaccessible from the Windows networking UI. It is strongly recommended that you have the WLANSVC service running if your computer has a WLAN adapter.","LocalSystem","Share Process"
"wlidsvc","Microsoft Account Sign-in Assistant","Manual","Running","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Enables user sign-in through Microsoft account identity services. If this service is stopped, users will not be able to logon to the computer with their Microsoft account.","LocalSystem","Share Process"
"WLMS","Windows Licensing Monitoring Service","Auto","Running","C:\WINDOWS\system32\wlms\wlms.exe","This service monitors the Windows software license state.","LocalSystem","Own Process"
"WManSvc","WManSvc","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs -p",,"LocalSystem","Share Process"
"wmiApSrv","WMI Performance Adapter","Manual","Stopped","C:\WINDOWS\system32\wbem\WmiApSrv.exe","Provides performance library information from Windows Management Instrumentation (WMI) providers to clients on the network. This service only runs when Performance Data Helper is activated.","localSystem","Own Process"
"WMPNetworkSvc","Windows Media Player Network Sharing Service","Manual","Stopped","""C:\Program Files\Windows Media Player\wmpnetwk.exe""","Shares Windows Media Player libraries to other networked players and media devices using Universal Plug and Play","NT AUTHORITY\NetworkService","Own Process"
"workfolderssvc","Work Folders","Manual","Stopped","C:\WINDOWS\System32\svchost.exe -k LocalService -p","This service syncs files with the Work Folders server, enabling you to use the files on any of the PCs and devices on which you've set up Work Folders.","NT AUTHORITY\LocalService","Share Process"
"WPDBusEnum","Portable Device Enumerator Service","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalSystemNetworkRestricted","Enforces group policy for removable mass-storage devices. Enables applications such as Windows Media Player and Image Import Wizard to transfer and synchronize content using removable mass-storage devices.","LocalSystem","Share Process"
"WpnService","Windows Push Notifications System Service","Auto","Running","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","This service runs in session 0 and hosts the notification platform and connection provider which handles the connection between the device and WNS server.","LocalSystem","Share Process"
"WSAIFabricSvc","WSAIFabricSvc","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k WSAIFabricSvcGroup -p","Provides support to communicate with AIFabric in Local service context over COM.","NT AUTHORITY\LocalService","Share Process"
"WSearch","Windows Search","Disabled","Stopped","C:\WINDOWS\system32\SearchIndexer.exe /Embedding","Provides content indexing, property caching, and search results for files, e-mail, and other content.","LocalSystem","Own Process"
"wuauserv","Windows Update","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs -p","Enables the detection, download, and installation of updates for Windows and other programs. If this service is disabled, users of this computer will not be able to use Windows Update or its automatic updating feature, and programs will not be able to use the Windows Update Agent (WUA) API.","LocalSystem","Share Process"
"XblAuthManager","XblAuthManager","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k netsvcs -p",,"LocalSystem","Share Process"
"PrintNotify","Printer Extensions and Notifications","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k print","This service opens custom printer dialog boxes and handles notifications from a remote print server or a printer. If you turn off this service, you won?t be able to see printer extensions or notifications.","LocalSystem","Share Process"
"BluetoothUserService_195265","BluetoothUserService_195265","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k BthAppGroup -p",,,"Unknown"
"CaptureService_195265","CaptureService_195265","Manual","Stopped","C:\WINDOWS\system32\svchost.exe -k LocalService -p","Enables optional screen capture functionality for applications that call the Windows.Graphics.Capture API.",,"Unknown"
"cbdhsvc_195265","Clipboard User Service_195265","Auto","Running","C:\WINDOWS\system32\svchost.exe -k ClipboardSvcGroup -p","This user service is used for Clipboard scenarios",,"Unknown"
"CDPUserSvc_195265","Connected Devices Platform User Service_195265","Auto","Running","C:\WINDOWS\system32\svchost.exe -k UnistackSvcGroup","This user service is used for Connected Devices Platform scenarios",,"Unknown"
